Baseline 100%T_S,,Baseline 100%T_P,,Sample S 6.00 12.00,,Sample S 6.00  180.00,,Sample P 6.00  180.00,,Sample P 6.00 12.00,,
Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%R,
638,21.54663277,638,132.2446136,638,33.74987411,638,65.89093781,638,66.33982849,638,33.27502441,
637,22.02239799,637,131.8654327,637,33.74240112,637,65.90400696,637,66.33971405,637,33.2897644,
636,22.50244522,636,131.4957123,636,33.76008606,636,65.90643311,636,66.33344269,636,33.28969574,
635,22.98319435,635,131.1154938,635,33.76230621,635,65.89846802,635,66.32894135,635,33.2951889,
634,23.47420883,634,130.736084,634,33.78223801,634,65.8759079,634,66.32372284,634,33.29787445,
633,23.96012115,633,130.3693695,633,33.78100586,633,65.87558746,633,66.32257843,633,33.30215454,
632,24.43279839,632,130.0016785,632,33.78376007,632,65.88114929,632,66.31343079,632,33.30817032,
631,24.89884567,631,129.6496277,631,33.80592346,631,65.8854599,631,66.31006622,631,33.31373978,
630,25.35627747,630,129.316391,630,33.79730606,630,65.86998749,630,66.30081177,630,33.32060242,
629,25.79098892,629,128.9975891,629,33.81032181,629,65.86943817,629,66.30052185,629,33.32378769,
628,26.2025032,628,128.7058563,628,33.8122673,628,65.86652374,628,66.2975235,628,33.3274231,
627,26.58978653,627,128.436615,627,33.8148613,627,65.84936523,627,66.28624725,627,33.33325195,
626,26.94133759,626,128.1911621,626,33.82712555,626,65.86515045,626,66.28526306,626,33.33768463,
625,27.26536942,625,127.9881821,625,33.81533432,625,65.84140015,625,66.27941895,625,33.34163284,
624,27.53827667,624,127.8237686,624,33.82146835,624,65.83649445,624,66.27426147,624,33.34667206,
623,27.77599144,623,127.6892548,623,33.83046341,623,65.83137512,623,66.2714386,623,33.35190201,
622,27.96242142,622,127.6090851,622,33.82893372,622,65.82787323,622,66.27237701,622,33.35587692,
621,28.09946823,621,127.5785828,621,33.85103607,621,65.8277359,621,66.26789856,621,33.36118698,
620,28.17179871,620,127.6048431,620,33.8491478,620,65.82395172,620,66.26585388,620,33.36754227,
619,28.19788742,619,127.6719894,619,33.86369705,619,65.81287384,619,66.25584412,619,33.37220001,
618,28.15895081,618,127.799057,618,33.86880112,618,65.8140564,618,66.25856781,618,33.3826828,
617,28.05804253,617,127.9871597,617,33.86393738,617,65.81195068,617,66.24911499,617,33.38523865,
