Baseline 100%T_S,,Baseline 100%T_P,,Sample S 6.00 12.00,,Sample S 6.00  180.00,,Sample P 6.00  180.00,,Sample P 6.00 12.00,,
Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%R,
638,21.5436554,638,132.2985687,638,33.71443558,638,65.84255219,638,66.28051758,638,33.25257111,
637,22.0167141,637,131.9299164,637,33.72212982,637,65.85237122,637,66.27141571,637,33.25523376,
636,22.50082397,636,131.5562897,636,33.71357727,636,65.84090424,636,66.26591492,636,33.25800323,
635,22.98243904,635,131.1865082,635,33.71743393,635,65.83805847,635,66.25241089,635,33.26172638,
634,23.46848869,634,130.8102112,634,33.72646713,634,65.85654449,634,66.24406433,634,33.26671219,
633,23.95719528,633,130.4421844,633,33.73003769,633,65.84292603,633,66.24530792,633,33.26810455,
632,24.42726707,632,130.0821228,632,33.74497223,632,65.82857513,632,66.23590851,632,33.27069473,
631,24.89520073,631,129.7189636,631,33.74530411,631,65.8241806,631,66.22865295,631,33.27910233,
630,25.35151291,630,129.35849,630,33.75901413,630,65.83019257,630,66.23699951,630,33.29085159,
629,25.78709984,629,129.0325928,629,33.77888489,629,65.82366943,629,66.23421478,629,33.29374695,
628,26.19785118,628,128.7338562,628,33.76904297,628,65.81673431,628,66.23751068,628,33.3003273,
627,26.58460426,627,128.4649963,627,33.76228333,627,65.79840851,627,66.22636414,627,33.30544281,
626,26.94331741,626,128.2327728,626,33.77151871,626,65.78940582,626,66.21602631,626,33.30908585,
625,27.26394463,625,128.0172882,625,33.79464722,625,65.78170776,625,66.21646118,625,33.31644058,
624,27.54100609,624,127.8549042,624,33.77264023,624,65.78046417,624,66.21380615,624,33.32108688,
623,27.77404404,623,127.7293243,623,33.79110718,623,65.77119446,623,66.20962524,623,33.32126999,
622,27.96413612,622,127.6427383,622,33.77849579,622,65.76950836,622,66.2072525,622,33.33018875,
621,28.10011864,621,127.6114731,621,33.79585648,621,65.75843048,621,66.2049942,621,33.33673096,
620,28.17634964,620,127.6285553,620,33.81254578,620,65.75806427,620,66.20227814,620,33.34506226,
619,28.19749641,619,127.7111282,619,33.80460739,619,65.75908661,619,66.19116974,619,33.34659195,
618,28.15948486,618,127.8249741,618,33.81829071,618,65.75441742,618,66.19807434,618,33.35800171,
617,28.06072807,617,128.0100098,617,33.82941055,617,65.75188446,617,66.193573,617,33.36143875,
616,27.90642929,616,128.2570038,616,33.82539368,616,65.74160767,616,66.1859436,616,33.37189102,
615,27.6845417,615,128.5535278,615,33.83357239,615,65.75253296,615,66.18409729,615,33.37386322,
614,27.40543747,614,128.9032135,614,33.84353638,614,65.74877167,614,66.18218994,614,33.37998199,
613,27.07770157,613,129.2684631,613,33.85152054,613,65.73339081,613,66.1842041,613,33.38640594,
612,26.69179153,612,129.7035828,612,33.85306549,612,65.73710632,612,66.17222595,612,33.3893013,
611,26.26705742,611,130.1621552,611,33.85917664,611,65.71256256,611,66.17372894,611,33.39385986,
610,25.81354332,610,130.6507416,610,33.85694504,610,65.70765686,610,66.16607666,610,33.39902878,
609,25.33199692,609,131.1416321,609,33.8775177,609,65.71615601,609,66.15758514,609,33.40682983,
608,24.83753586,608,131.6243286,608,33.86352539,608,65.71560669,608,66.16121674,608,33.41397476,
607,24.34334755,607,132.109726,607,33.88087082,607,65.70719147,607,66.14835358,607,33.41652298,
606,23.86346054,606,132.5565643,606,33.89142227,606,65.70397949,606,66.14517212,606,33.4248848,
605,23.41350174,605,132.9647369,605,33.89600372,605,65.71342468,605,66.13206482,605,33.43017197,
604,22.99781227,604,133.3257141,604,33.91375351,604,65.70681,604,66.13197327,604,33.43053436,
603,22.63782501,603,133.6047363,603,33.91946411,603,65.70218658,603,66.13291168,603,33.43744659,
602,22.34956932,602,133.8239746,602,33.91111374,602,65.68859863,602,66.11572266,602,33.44672012,
601,22.13383102,601,133.9350739,601,33.92563248,601,65.68108368,601,66.12021637,601,33.45573044,
600,22.00823593,600,133.9516449,600,33.92542267,600,65.67521667,600,66.11788177,600,33.46227646,
599,21.98521614,599,133.8981323,599,33.92657089,599,65.6770401,599,66.10374451,599,33.46412659,
598,22.05774689,598,133.7120056,598,33.94335175,598,65.66979218,598,66.09708405,598,33.47370529,
597,22.2343235,597,133.4452209,597,33.93602371,597,65.69668579,597,66.0921936,597,33.47593689,
596,22.52742767,596,133.0754089,596,33.94984818,596,65.68267822,596,66.08822632,596,33.48247147,
595,22.93326378,595,132.6064758,595,33.96491623,595,65.67953491,595,66.07781219,595,33.4855423,
594,23.44205475,594,132.0433044,594,33.98106766,594,65.66856384,594,66.07658386,594,33.49539185,
593,24.05991173,593,131.4090729,593,33.98174667,593,65.67156219,593,66.07092285,593,33.49826431,
592,24.79196548,592,130.6769714,592,33.98081589,592,65.66899872,592,66.06582642,592,33.50307083,
591,25.5962677,591,129.89505,591,34.00000763,591,65.67501068,591,66.05335999,591,33.50406265,
590,26.48620224,590,129.0191803,590,34.01621628,590,65.68209839,590,66.05673981,590,33.51348495,
589,27.46867752,589,128.0904694,589,34.01325989,589,65.65349579,589,66.05160522,589,33.51804733,
588,28.49925995,588,127.1144028,588,34.01654816,588,65.62937164,588,66.05121613,588,33.53168106,
587,29.57645988,587,126.1193008,587,34.01477051,587,65.65391541,587,66.05117035,587,33.53641891,
586,30.6953125,586,125.0953064,586,34.02290726,586,65.63037872,586,66.04089355,586,33.54127121,
585,31.83915901,585,124.0521164,585,34.03395844,585,65.6370163,585,66.03201294,585,33.54777527,
584,33.0039444,584,123.0062637,584,34.02775574,584,65.62220764,584,66.02996826,584,33.55405426,
583,34.1518631,583,121.9455032,583,34.04323959,583,65.60843658,583,66.03144836,583,33.56851196,
582,35.30935287,582,120.8937759,582,34.05369186,582,65.61557007,582,66.02060699,582,33.57221222,
581,36.44932938,581,119.8609695,581,34.05875015,581,65.60812378,581,66.01753998,581,33.5811615,
580,37.55993271,580,118.8523788,580,34.06735611,580,65.60879517,580,66.00727081,580,33.58675003,
579,38.65148544,579,117.8715134,579,34.06916428,579,65.58994293,579,66.00624084,579,33.58803558,
578,39.70477295,578,116.9037933,578,34.07157516,578,65.58976746,578,66.00198364,578,33.59490204,
577,40.70808029,577,115.9838409,577,34.08411789,577,65.58242035,577,65.98474121,577,33.60564423,
576,41.68466187,576,115.1001816,576,34.08344269,576,65.58865356,576,65.97808075,576,33.60673904,
575,42.60467148,575,114.2503738,575,34.09706497,575,65.57084656,575,65.96503448,575,33.61696243,
574,43.50022125,574,113.4317627,574,34.09777451,574,65.55806732,574,65.96817017,574,33.62125778,
573,44.35719681,573,112.6429672,573,34.10281372,573,65.54199982,573,65.95923615,573,33.62930298,
572,45.15045929,572,111.888504,572,34.10309219,572,65.54373932,572,65.95117188,572,33.63212204,
571,45.9108429,571,111.1614914,571,34.13390732,571,65.5426178,571,65.9565506,571,33.63886642,
570,46.65476227,570,110.4636765,570,34.12217331,570,65.53403473,570,65.9553833,570,33.64890671,
569,47.32898331,569,109.841095,569,34.12747192,569,65.53831482,569,65.94104004,569,33.65774536,
568,47.88427734,568,109.3349228,568,34.14455795,568,65.53884125,568,65.9358139,568,33.65706635,
567,48.29995346,567,108.9312057,567,34.1468544,567,65.52259064,567,65.92854309,567,33.66804886,
566,48.59476852,566,108.6235428,566,34.16859055,566,65.52215576,566,65.93209076,566,33.67817307,
565,48.80717468,565,108.417305,565,34.16551971,565,65.50977325,565,65.92098236,565,33.6819191,
