Baseline 100%T_S,,Baseline 100%T_P,,Sample S 6.00 12.00,,Sample S 6.00  180.00,,Sample P 6.00  180.00,,Sample P 6.00 12.00,,
Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%R,
586,30.72750282,586,125.1290207,586,34.02365112,586,65.60781097,586,66.05109406,586,33.54207993,
585,31.87574387,585,124.0839233,585,34.03329086,585,65.60335541,585,66.04301453,585,33.5496521,
584,33.04227448,584,123.0353394,584,34.05039597,584,65.59262085,584,66.03649902,584,33.55777359,
583,34.1861763,583,121.9790497,583,34.05039978,583,65.59778595,583,66.04291534,583,33.5651474,
582,35.35035706,582,120.9277878,582,34.05239105,582,65.56786346,582,66.03444672,582,33.57236481,
581,36.48834991,581,119.9031601,581,34.06179047,581,65.57518005,581,66.0316925,581,33.57675552,
580,37.60548019,580,118.891922,580,34.06851959,580,65.56607056,580,66.0223999,580,33.58142853,
579,38.69068909,579,117.9036026,579,34.07278061,579,65.56407928,579,66.01390076,579,33.58887863,
578,39.74297714,578,116.956749,578,34.07809448,578,65.56594849,578,66.00521851,578,33.59183884,
577,40.75009918,577,116.0169754,577,34.08330154,577,65.55742645,577,66.00468445,577,33.6076622,
576,41.72097015,576,115.1411743,576,34.09848785,576,65.56658936,576,65.99160767,576,33.60728836,
575,42.64858627,575,114.2854538,575,34.09547424,575,65.5507431,575,65.98471069,575,33.61116791,
574,43.54698181,574,113.4731064,574,34.10471344,574,65.53422546,574,65.97351074,574,33.62191772,
573,44.39922714,573,112.6876602,573,34.10677719,573,65.51720428,573,65.96244812,573,33.62084198,
572,45.18710327,572,111.9265671,572,34.1186142,572,65.52628326,572,65.96899414,572,33.63579559,
571,45.96476364,571,111.2156372,571,34.12376785,571,65.51828003,571,65.9515686,571,33.64191818,
570,46.69774246,570,110.5267487,570,34.1444397,570,65.52603912,570,65.95693207,570,33.6462059,
569,47.37659454,569,109.9083786,569,34.12929916,569,65.52147675,569,65.93900299,569,33.64789581,
568,47.93660355,568,109.389183,568,34.13632965,568,65.48661804,568,65.93878937,568,33.65523911,
567,48.35151672,567,108.9969864,567,34.1535759,567,65.495224,567,65.92498779,567,33.6653595,
566,48.65611267,566,108.6956024,566,34.15738678,566,65.49100494,566,65.91886902,566,33.67702866,
565,48.86128998,565,108.4724426,565,34.14441681,565,65.48422241,565,65.92610168,565,33.68453979,
564,48.97045898,564,108.3462677,564,34.16573715,564,65.45950317,564,65.9077301,564,33.68014526,
563,49.03369141,563,108.2530136,563,34.16005325,563,65.444664,563,65.90756226,563,33.68980789,
562,49.07886505,562,108.1658707,562,34.18325806,562,65.43869781,562,65.90093231,562,33.6911087,
561,49.11458969,561,108.0760727,561,34.19391632,561,65.44126129,561,65.89531708,561,33.70571899,
560,49.15786362,560,108.0040131,560,34.20373917,560,65.42292786,560,65.87940216,560,33.7057991,
559,49.19721222,559,107.9044342,559,34.22024536,559,65.4441452,559,65.87062836,559,33.72273254,
558,49.24079514,558,107.8040466,558,34.21731567,558,65.44689178,558,65.87621307,558,33.72438049,
557,49.28007126,557,107.7072372,557,34.23146439,557,65.42147064,557,65.86767578,557,33.73224258,
556,49.31865311,556,107.5978394,556,34.22925949,556,65.41719055,556,65.87919617,556,33.74556732,
555,49.3454361,555,107.5356979,555,34.23740387,555,65.40273285,555,65.85201263,555,33.74612808,
554,49.36368942,554,107.4496002,554,34.24973297,554,65.41004944,554,65.84210205,554,33.75289154,
553,49.3693428,553,107.3557739,553,34.25091934,553,65.40228271,553,65.84288788,553,33.77123642,
552,49.3716507,552,107.2931747,552,34.25000381,552,65.39150238,552,65.8372345,552,33.77545929,
551,49.3592453,551,107.2263947,551,34.26244736,551,65.3850174,551,65.83078003,551,33.79119873,
550,49.33505249,550,107.1744919,550,34.25854874,550,65.38357544,550,65.81351471,550,33.79157639,
549,49.28715515,549,107.14048,549,34.28641129,549,65.38880157,549,65.81640625,549,33.78826523,
548,49.22196198,548,107.1333389,548,34.29312897,548,65.3600769,548,65.80706024,548,33.80123901,
547,49.0477562,547,107.2083206,547,34.30474854,547,65.35301208,547,65.80688477,547,33.81302643,
546,48.81179047,546,107.3782349,546,34.31871414,546,65.33387756,546,65.78466034,546,33.81296539,
545,48.51592636,545,107.5710068,545,34.3273468,545,65.34900665,545,65.77406311,545,33.82803726,
544,48.18932343,544,107.7870255,544,34.3302536,544,65.33397675,544,65.7596817,544,33.83379364,
543,47.83129501,543,107.9950562,543,34.33451462,543,65.34793091,543,65.7563324,543,33.84925842,
542,47.50676727,542,108.206604,542,34.3299675,542,65.34033203,542,65.73498535,542,33.85640717,
541,47.22038269,541,108.3639603,541,34.32374954,541,65.32774353,541,65.7283783,541,33.85674286,
540,46.94501877,540,108.4883728,540,34.34551239,540,65.30640411,540,65.72640228,540,33.87638855,
539,46.70733643,539,108.5955276,539,34.35884857,539,65.30031586,539,65.73258972,539,33.8697052,
538,46.49238205,538,108.6771164,538,34.37539291,538,65.29496002,538,65.72685242,538,33.87859344,
537,46.29204178,537,108.743927,537,34.39028168,537,65.29040527,537,65.71897888,537,33.88558578,
536,46.103302,536,108.814064,536,34.3923111,536,65.28804016,536,65.70452118,536,33.88079453,
535,45.92626572,535,108.8507385,535,34.40343857,535,65.25938416,535,65.7017746,535,33.89095688,
534,45.74337769,534,108.8851013,534,34.4159317,534,65.26287842,534,65.69234467,534,33.90139771,
533,45.56925583,533,108.9006577,533,34.43132782,533,65.25363922,533,65.69295502,533,33.91906738,
532,45.40565491,532,108.9361038,532,34.42598724,532,65.24865723,532,65.67583466,532,33.92691803,
531,45.24135971,531,108.9350967,531,34.43807983,531,65.24372864,531,65.67536163,531,33.94271851,
530,45.08078766,530,108.9588852,530,34.44271088,530,65.22107697,530,65.65834045,530,33.94140625,
529,44.92328644,529,108.9758911,529,34.43967819,529,65.21651459,529,65.63615417,529,33.9560585,
528,44.76162338,528,108.9729919,528,34.4587059,528,65.21950531,528,65.63271332,528,33.96769333,
527,44.59087753,527,108.9699631,527,34.46316528,527,65.21950531,527,65.62345123,527,33.98008347,
526,44.44248199,526,108.9649887,526,34.47173691,526,65.1990509,526,65.6170578,526,33.98593521,
525,44.28137207,525,108.9555969,525,34.47179031,525,65.18228912,525,65.60195923,525,34.00182343,
524,44.12768936,524,108.9447021,524,34.48225403,524,65.17469025,524,65.59975433,524,34.00728226,
523,43.9662323,523,108.9078751,523,34.50341797,523,65.1661377,523,65.59092712,523,34.01897049,
522,43.80967331,522,108.8998947,522,34.4940033,522,65.15370941,522,65.5776825,522,34.02326202,
521,43.65769196,521,108.8673248,521,34.51019669,521,65.13861084,521,65.58013916,521,34.03454208,
520,43.4993515,520,108.8375549,520,34.51737976,520,65.13187408,520,65.56420135,520,34.05445099,
