Baseline 100%T_S,,Baseline 100%T_P,,Sample S 6.00 12.00,,Sample S 6.00  180.00,,Sample P 6.00  180.00,,Sample P 6.00 12.00,,
Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%R,
638,21.56073189,638,132.2986298,638,33.70619202,638,65.82548523,638,66.2779541,638,33.24497223,
637,22.03215218,637,131.9337769,637,33.71541214,637,65.82811737,637,66.27288055,637,33.24825287,
636,22.51758957,636,131.5657959,636,33.70322037,636,65.81835938,636,66.26213837,636,33.25050354,
635,22.99764824,635,131.1947021,635,33.73518753,635,65.8239975,635,66.25804138,635,33.25443268,
634,23.48871422,634,130.804306,634,33.73600769,634,65.81832886,634,66.2596283,634,33.26133728,
633,23.97698593,633,130.4357605,633,33.73197174,633,65.81228638,633,66.24621582,633,33.26442719,
632,24.44906616,632,130.072464,632,33.72943878,632,65.80974579,632,66.24255371,632,33.27050781,
631,24.91296387,631,129.7183533,631,33.73645401,631,65.81024933,631,66.23110962,631,33.27671814,
630,25.36878967,630,129.3912964,630,33.74981308,630,65.80726624,630,66.22509766,630,33.27778625,
629,25.80591965,629,129.0605927,629,33.75508881,629,65.79179382,629,66.2302475,629,33.28466034,
628,26.2187233,628,128.7606964,628,33.74060822,628,65.78369904,628,66.22344208,628,33.29085922,
627,26.60211945,627,128.4942932,627,33.75655746,627,65.79176331,627,66.22410583,627,33.29722214,
626,26.96029854,626,128.2502441,626,33.7664032,626,65.78223419,626,66.21303558,626,33.29817963,
625,27.28316879,625,128.0452576,625,33.77080917,625,65.76503754,625,66.2101593,625,33.3008461,
624,27.55724525,624,127.8739319,624,33.77146912,624,65.75605011,624,66.21380615,624,33.30960464,
623,27.79328156,623,127.7434464,623,33.76981735,623,65.75770569,623,66.20664978,623,33.313797,
622,27.98166275,622,127.6589508,622,33.78885269,622,65.74663544,622,66.2095871,622,33.32533646,
621,28.11490631,621,127.6232986,621,33.77971649,621,65.75008392,621,66.20704651,621,33.33179855,
620,28.19508553,620,127.6467896,620,33.79652023,620,65.74923706,620,66.19850159,620,33.33611298,
619,28.21583748,619,127.712944,619,33.80212784,619,65.7394104,619,66.20032501,619,33.34280777,
618,28.17712402,618,127.8549423,618,33.82026672,618,65.72557068,618,66.18790436,618,33.34363556,
617,28.07609749,617,128.0374756,617,33.82671356,617,65.71802521,617,66.18913269,617,33.35057068,
616,27.92035103,616,128.2852173,616,33.81480408,616,65.72505951,616,66.18283081,616,33.35584641,
615,27.7028389,615,128.5814514,615,33.82555771,615,65.70860291,615,66.17539215,615,33.36367798,
614,27.4209938,614,128.9140167,614,33.82893372,614,65.71282196,614,66.17874146,614,33.37076187,
613,27.08950043,613,129.3039246,613,33.83692932,613,65.69309235,613,66.1678772,613,33.3735466,
612,26.70823097,612,129.7294312,612,33.83915329,612,65.70509338,612,66.17208862,612,33.3807869,
611,26.27643967,611,130.190094,611,33.85063553,611,65.70572662,611,66.1664505,611,33.38313293,
610,25.82001686,610,130.6756439,610,33.87060928,610,65.71172333,610,66.15523529,610,33.38575363,
609,25.33853912,609,131.1661072,609,33.87229156,609,65.70662689,609,66.15325165,609,33.3953743,
608,24.84657288,608,131.6657104,608,33.87469864,608,65.68844604,608,66.14640045,608,33.39699554,
607,24.35190964,607,132.146637,607,33.88778687,607,65.70040894,607,66.14358521,607,33.40719223,
606,23.8719368,606,132.5911102,606,33.88334274,606,65.68504333,606,66.13697052,606,33.41181183,
