Baseline 100%T_S,,Baseline 100%T_P,,Sample S 6.00 12.00,,Sample S 6.00  180.00,,Sample P 6.00  180.00,,Sample P 6.00 12.00,,
Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%R,
665,15.95653439,665,136.5550232,665,33.62955856,665,66.08400726,665,66.53266907,665,33.18223572,
664,15.91537476,664,136.6377106,664,33.64972305,664,66.09867859,664,66.52438354,664,33.18532562,
663,15.89134026,663,136.6819916,663,33.65126419,663,66.08573914,663,66.52334595,663,33.19182587,
662,15.88248444,662,136.7243195,662,33.6649437,662,66.09519958,662,66.5170517,662,33.19301605,
661,15.88886261,661,136.749054,661,33.65496826,661,66.0830307,661,66.50972748,661,33.1924324,
660,15.91090965,660,136.7485809,660,33.68160248,660,66.07591248,660,66.50898743,660,33.20008087,
659,15.94944859,659,136.7404175,659,33.67127609,659,66.07926178,659,66.49925232,659,33.20381165,
658,16.01202202,658,136.709198,658,33.67248535,658,66.0488205,658,66.4982605,658,33.20972824,
657,16.08748055,657,136.651123,657,33.68267822,657,66.05140686,657,66.50006866,657,33.21400452,
656,16.18232918,656,136.5918579,656,33.68886948,656,66.04360962,656,66.49059296,656,33.21725845,
655,16.30200958,655,136.5085297,655,33.66701126,655,66.05265808,655,66.48760223,655,33.22374344,
654,16.43626022,654,136.4099731,654,33.6778183,654,66.04136658,654,66.47937012,654,33.22889328,
653,16.59508705,653,136.2877655,653,33.6954155,653,66.03479004,653,66.47293854,653,33.23103333,
652,16.77261543,652,136.1508636,652,33.69617462,652,66.04402924,652,66.47176361,652,33.23274994,
651,16.97450066,651,135.9887848,651,33.70553207,651,66.03668976,651,66.46040344,651,33.23954773,
650,17.20035172,650,135.8184052,650,33.71220779,650,66.01942444,650,66.45171356,650,33.23871613,
649,17.44592667,649,135.62117,649,33.71379852,649,66.02282715,649,66.44991302,649,33.24417496,
648,17.71564293,648,135.400116,648,33.70368958,648,66.00963593,648,66.43778992,648,33.2492218,
647,18.00774384,647,135.1493073,647,33.71260834,647,66.00035095,647,66.44657898,647,33.25742722,
646,18.31554985,646,134.9008484,646,33.71614838,646,66.00205994,646,66.43537903,646,33.25902557,
645,18.65409851,645,134.6204376,645,33.72975922,645,65.99228668,645,66.43656158,645,33.26094437,
644,19.01825905,644,134.3360748,644,33.73273849,644,65.9761734,644,66.43258667,644,33.26980591,
643,19.39310837,643,134.039444,643,33.74822235,643,65.97323608,643,66.42301941,643,33.27257156,
642,19.79487038,642,133.7272949,642,33.74614716,642,65.98455811,642,66.41209412,642,33.27523041,
641,20.21417236,641,133.3823395,641,33.74028778,641,65.96839142,641,66.41035461,641,33.28264618,
640,20.64781761,640,133.0358582,640,33.76232529,640,65.95373535,640,66.40612793,640,33.28466415,
639,21.09614182,639,132.6746826,639,33.75322723,639,65.94882202,639,66.40714264,639,33.2882309,
638,21.55558395,638,132.3168945,638,33.7634964,638,65.95084381,638,66.38513184,638,33.29343033,
637,22.02672386,637,131.9368591,637,33.78015137,637,65.95607758,637,66.39097595,637,33.29455185,
636,22.51386261,636,131.5563507,636,33.76591492,636,65.93045807,636,66.38672638,636,33.30548096,
635,22.99575043,635,131.1656036,635,33.77180481,635,65.92209625,635,66.38781738,635,33.31002045,
634,23.48386574,634,130.8000031,634,33.77435303,634,65.93993378,634,66.37182617,634,33.31373596,
633,23.9714241,633,130.427887,633,33.78538132,633,65.93716431,633,66.3711319,633,33.31641769,
632,24.44071198,632,130.0579681,632,33.79362488,632,65.94062805,632,66.36777496,632,33.32082748,
631,24.90603638,631,129.7136688,631,33.80856323,631,65.9492569,631,66.35903931,631,33.32419205,
630,25.36428261,630,129.3737946,630,33.80807495,630,65.93429565,630,66.36182404,630,33.32886505,
629,25.79967117,629,129.0605927,629,33.80330658,629,65.91595459,629,66.34870148,629,33.33292007,
628,26.21179771,628,128.7591858,628,33.80974197,628,65.92127228,628,66.33797455,628,33.3405838,
627,26.59389687,627,128.4951935,627,33.82748032,627,65.92847443,627,66.32975769,627,33.34100342,
626,26.95490646,626,128.2454834,626,33.83164597,626,65.90087891,626,66.32926941,626,33.3506546,
625,27.26900864,625,128.0366821,625,33.82605362,625,65.91696167,625,66.33450317,625,33.35361862,
624,27.54810715,624,127.8668137,624,33.83781815,624,65.91133118,624,66.33155823,624,33.36325455,
623,27.78174591,623,127.7302246,623,33.84932709,623,65.90866089,623,66.33508301,623,33.37089539,
622,27.97115517,622,127.6464081,622,33.84226608,622,65.90058899,622,66.34116364,622,33.37435532,
621,28.102108,621,127.6138535,621,33.85731888,621,65.90750885,621,66.33613586,621,33.37916946,
620,28.18277168,620,127.633522,620,33.86291122,620,65.8848877,620,66.32804871,620,33.38448715,
619,28.20171738,619,127.7048569,619,33.87591171,619,65.88368225,619,66.3239212,619,33.38980484,
618,28.16497993,618,127.8410645,618,33.87852478,618,65.87522125,618,66.31477356,618,33.39461517,
617,28.06947327,617,128.0291901,617,33.86928177,617,65.86649323,617,66.31272125,617,33.39727402,
616,27.90572929,616,128.2732239,616,33.88113403,616,65.87673187,616,66.3103714,616,33.40756607,
615,27.68903732,615,128.5558624,615,33.89133072,615,65.8875885,615,66.31092072,615,33.41540527,
614,27.41162109,614,128.9028168,614,33.89405823,614,65.86585999,614,66.30580139,614,33.41708755,
613,27.07676315,613,129.2830963,613,33.90914917,613,65.86144257,613,66.29941559,613,33.42427063,
612,26.69855309,612,129.7133026,612,33.92396927,612,65.84871674,612,66.29702759,612,33.43210983,
611,26.26973724,611,130.1657715,611,33.90966034,611,65.84026337,611,66.29130554,611,33.43983078,
610,25.81533432,610,130.6529694,610,33.92829132,610,65.83854675,610,66.28760529,610,33.4426918,
609,25.33477592,609,131.1480713,609,33.93389511,609,65.8483963,609,66.28471375,609,33.44986725,
608,24.84080887,608,131.6345062,608,33.93848419,608,65.8416748,608,66.2746582,608,33.46032333,
607,24.34856224,607,132.1231537,607,33.94630814,607,65.83885193,607,66.26837921,607,33.46137238,
606,23.86429405,606,132.5657043,606,33.95353699,606,65.83450317,606,66.26574707,606,33.46893311,
605,23.42101479,605,132.9606781,605,33.94187546,605,65.81185913,605,66.27344513,605,33.4748764,
604,23.005373,604,133.3328094,604,33.94224167,604,65.81642914,604,66.26255798,604,33.47875214,
603,22.64514542,603,133.6147156,603,33.95797729,603,65.82064819,603,66.25782776,603,33.48109055,
602,22.35637856,602,133.8247375,602,33.96310806,602,65.80970001,602,66.25445557,602,33.48791504,
601,22.14116478,601,133.9427185,601,33.97596359,601,65.81037903,601,66.24471283,601,33.49844742,
600,22.01444054,600,133.9645233,600,33.98766708,600,65.80806732,600,66.24216461,600,33.50193024,
599,21.98797798,599,133.8968201,599,33.99816895,599,65.80175781,599,66.23161316,599,33.50769424,
598,22.06451797,598,133.7172089,598,33.99677277,598,65.79159546,598,66.23149872,598,33.5110817,
597,22.24804688,597,133.444458,597,34.00508881,597,65.7842865,597,66.2253418,597,33.51575851,
596,22.53812027,596,133.0739136,596,34.01987076,596,65.79924011,596,66.2170639,596,33.5210762,
595,22.94595718,595,132.603653,595,34.01423264,595,65.78850555,595,66.21604156,595,33.52671432,
594,23.45412445,594,132.0415802,594,34.01725769,594,65.74948883,594,66.20821381,594,33.53426743,
593,24.07992554,593,131.3908386,593,34.01727676,593,65.76831055,593,66.20744324,593,33.54320145,
592,24.80748558,592,130.6654205,592,34.04227066,592,65.77052307,592,66.20051575,592,33.54521561,
591,25.61794853,591,129.8695984,591,34.02873611,591,65.7569046,591,66.18541718,591,33.55145264,
590,26.51287842,590,129.0161896,590,34.05809784,590,65.74807739,590,66.18106079,590,33.55688477,
589,27.49289513,589,128.0899963,589,34.05315781,589,65.75272369,589,66.17809296,589,33.56636429,
588,28.52411652,588,127.1183395,588,34.05773544,588,65.71317291,588,66.17214966,588,33.57013702,
587,29.60425949,587,126.1218185,587,34.05724335,587,65.72166443,587,66.17218781,587,33.57406998,
586,30.71910667,586,125.0884857,586,34.06277466,586,65.7051239,586,66.16728973,586,33.58540726,
585,31.87103653,585,124.0385666,585,34.06628036,585,65.70755005,585,66.15644836,585,33.59143829,
584,33.03098297,584,122.9898911,584,34.08259583,584,65.70568085,584,66.15263367,584,33.59825134,
583,34.18434525,583,121.9359131,583,34.07691193,583,65.68922424,583,66.14954376,583,33.60926056,
582,35.33564758,582,120.8906631,582,34.10304642,582,65.7089386,582,66.13685608,582,33.60773849,
581,36.48133087,581,119.863739,581,34.09525681,581,65.67560577,581,66.12783813,581,33.61670685,
580,37.59250259,580,118.8465729,580,34.10373688,580,65.68621063,580,66.12819672,580,33.62160873,
579,38.67751312,579,117.8635483,579,34.11409378,579,65.6799469,579,66.12451935,579,33.63110733,
578,39.73070526,578,116.9089661,578,34.11445236,578,65.67724609,578,66.11495972,578,33.63696671,
577,40.74024582,577,115.9872742,577,34.13244629,577,65.67192078,577,66.10533905,577,33.63756943,
576,41.7138443,576,115.100769,576,34.12903214,576,65.66082001,576,66.09182739,576,33.64707947,
575,42.63063431,575,114.2599792,575,34.14927673,575,65.67292786,575,66.08972168,575,33.65130615,
574,43.52672577,574,113.4411469,574,34.14556122,574,65.64096069,574,66.0736084,574,33.65691757,
573,44.378582,573,112.6456985,573,34.15278625,573,65.65164185,573,66.07827759,573,33.66259766,
572,45.17210007,572,111.8843307,572,34.15307999,572,65.65736389,572,66.07452393,572,33.67526627,
571,45.9415741,571,111.1624756,571,34.16772461,571,65.65370178,571,66.0694809,571,33.68099213,
570,46.67709732,570,110.4823914,570,34.18107224,570,65.63191986,570,66.06260681,570,33.68546677,
569,47.36309814,569,109.8342209,569,34.18911362,569,65.63528442,569,66.0677948,569,33.70476913,
568,47.91461945,568,109.3251801,568,34.19701385,568,65.62966156,568,66.05928802,568,33.70042801,
567,48.32979965,567,108.927597,567,34.20278549,567,65.61924744,567,66.04933167,567,33.71191788,
566,48.63302994,566,108.625412,566,34.19680786,566,65.60803986,566,66.04510498,566,33.72507858,
565,48.83326721,565,108.4171906,565,34.21381378,565,65.62165833,565,66.03369904,565,33.72731018,
564,48.94420624,564,108.2804413,564,34.2122612,564,65.60185242,564,66.02787018,564,33.73238373,
563,48.99818802,563,108.190773,563,34.23909378,563,65.59651947,563,66.0239563,563,33.73574829,
562,49.0447464,562,108.1000671,562,34.23439789,562,65.58409119,562,66.01356506,562,33.75164413,
561,49.07868958,561,108.0183182,561,34.24843597,561,65.58308411,561,66.01552582,561,33.75404358,
560,49.11712265,560,107.9260941,560,34.25984192,560,65.56468201,560,66.00936127,560,33.76701355,
559,49.16733932,559,107.8277206,559,34.27189636,559,65.56433105,559,66.00244141,559,33.77212906,
558,49.2144165,558,107.7376022,558,34.2572937,558,65.57180023,558,65.99613953,558,33.77796936,
557,49.25386429,557,107.6466827,557,34.26824951,557,65.55992889,557,65.97909546,557,33.78412628,
556,49.29220963,556,107.544342,556,34.28003311,556,65.53722382,556,65.98479462,556,33.78793335,
555,49.31782913,555,107.4562683,555,34.28383636,555,65.545784,555,65.97396088,555,33.80070877,
554,49.33662033,554,107.3769913,554,34.28504944,554,65.53318024,554,65.96785736,554,33.80869293,
553,49.34466553,553,107.3074188,553,34.30370331,553,65.53427887,553,65.9599762,553,33.81188965,
552,49.34124756,552,107.2258224,552,34.31732178,552,65.52124023,552,65.95639038,552,33.82123566,
551,49.33419418,551,107.1743164,551,34.31747437,551,65.51172638,551,65.94057465,551,33.82681274,
550,49.31156158,550,107.1143036,550,34.31564713,550,65.5027771,550,65.93950653,550,33.84000778,
549,49.27186584,549,107.0744781,549,34.33833313,549,65.49278259,549,65.92694092,549,33.84469223,
548,49.19124985,548,107.0731659,548,34.33603287,548,65.49898529,548,65.92216492,548,33.84792709,
547,49.02114105,547,107.1553497,547,34.34907532,547,65.45505524,547,65.91231537,547,33.8637619,
546,48.77713776,546,107.3194122,546,34.35007095,546,65.47315979,546,65.90594482,546,33.86392212,
545,48.49071884,545,107.511055,545,34.36672592,545,65.45925903,545,65.89378357,545,33.86611557,
544,48.16927338,544,107.7132111,544,34.36777115,544,65.46024323,544,65.89181519,544,33.88101578,
543,47.80405045,543,107.9459915,543,34.38852692,543,65.45957947,543,65.87651062,543,33.88402557,
542,47.48260498,542,108.1326218,542,34.38886261,542,65.45446014,542,65.86574554,542,33.89833069,
541,47.19264603,541,108.27742,541,34.38575745,541,65.44940186,541,65.86812592,541,33.9095192,
540,46.91419983,540,108.4260559,540,34.40624237,540,65.44934845,540,65.85286713,540,33.9137001,
539,46.68880844,539,108.5360031,539,34.40433884,539,65.42155457,539,65.84777069,539,33.9239006,
538,46.46590805,538,108.6050186,538,34.43373871,538,65.42197418,538,65.84500885,538,33.92904282,
537,46.26221085,537,108.6762314,537,34.43745804,537,65.41403961,537,65.83229065,537,33.93676758,
536,46.07338715,536,108.7248001,536,34.43967056,536,65.40864563,536,65.82707214,536,33.94617081,
535,45.89216232,535,108.7657776,535,34.44346619,535,65.40019226,535,65.82405853,535,33.95695114,
534,45.71769333,534,108.8029251,534,34.44548416,534,65.38869476,534,65.82053375,534,33.96051407,
533,45.53890991,533,108.828476,533,34.47962952,533,65.39044189,533,65.80879974,533,33.97167206,
532,45.36982727,532,108.8471375,532,34.48233414,532,65.38172913,532,65.80236816,532,33.97852325,
531,45.21485901,531,108.8578186,531,34.47751617,531,65.35738373,531,65.79814148,531,33.99233627,
530,45.04562378,530,108.8814011,530,34.48427582,530,65.37039948,530,65.77968597,530,33.99718094,
529,44.89133072,529,108.8904724,529,34.50042725,529,65.35118103,529,65.77307129,529,34.00746155,
528,44.72289276,528,108.9000473,528,34.49694061,528,65.3478775,528,65.75187683,528,34.01334381,
527,44.56224442,527,108.8925629,527,34.52239609,527,65.34539795,527,65.7401123,527,34.02443314,
526,44.40459442,526,108.891449,526,34.53230667,526,65.33835602,526,65.7387085,526,34.02736664,
525,44.25008011,525,108.8914719,525,34.52578735,525,65.32223511,525,65.71957397,525,34.03267288,
524,44.0915451,524,108.8618011,524,34.53975677,524,65.3265152,524,65.73066711,524,34.0525322,
523,43.93824005,523,108.8438644,523,34.55591583,523,65.31182861,523,65.71951294,523,34.05705261,
522,43.77700424,522,108.8324051,522,34.55998993,522,65.29919434,522,65.70228577,522,34.06608963,
521,43.62193298,521,108.8035583,521,34.57416534,521,65.2929306,521,65.70304871,521,34.07355118,
520,43.46682358,520,108.7782745,520,34.55160522,520,65.25952148,520,65.68349457,520,34.07767868,
519,43.31065369,519,108.7500229,519,34.57323456,519,65.26220703,519,65.67115784,519,34.08760452,
518,43.15593338,518,108.7086563,518,34.57981873,518,65.24591064,518,65.67701721,518,34.1018486,
517,42.9960556,517,108.6624298,517,34.59777069,517,65.26426697,517,65.66451263,517,34.11067581,
516,42.83810806,516,108.6183777,516,34.60925674,516,65.24438477,516,65.65386963,516,34.12628555,
515,42.67594147,515,108.5832443,515,34.62608337,515,65.22322083,515,65.63729858,515,34.12747192,
514,42.52528763,514,108.5269241,514,34.63537598,514,65.20871735,514,65.6348114,514,34.14336777,
513,42.35944366,513,108.4805984,513,34.64935303,513,65.21112061,513,65.62985992,513,34.1493988,
512,42.20220566,512,108.4307175,512,34.65794754,512,65.2141571,512,65.61662292,512,34.15365982,
511,42.04774475,511,108.3721161,511,34.65578079,511,65.1929245,511,65.60319519,511,34.16278458,
510,41.88626099,510,108.315506,510,34.67769623,510,65.16649628,510,65.59223175,510,34.17683029,
509,41.7326088,509,108.2327728,509,34.68782043,509,65.15659332,509,65.5851593,509,34.18237305,
508,41.57152557,508,108.1701736,508,34.67572784,508,65.16394806,508,65.57262421,508,34.195961,
507,41.41493988,507,108.0998917,507,34.67781067,507,65.14414215,507,65.56485748,507,34.2114563,
506,41.25786591,506,108.0288849,506,34.69578171,506,65.11849976,506,65.55615997,506,34.22216034,
505,41.09287643,505,107.9496384,505,34.72894287,505,65.12677002,505,65.53813934,505,34.22545624,
504,40.93626785,504,107.8523026,504,34.72202682,504,65.11215973,504,65.54659271,504,34.23838806,
503,40.77634811,503,107.7702866,503,34.74435425,503,65.11571503,503,65.52942657,503,34.24773026,
502,40.62287903,502,107.6915512,502,34.7479744,502,65.10636139,502,65.50648499,502,34.25671387,
501,40.46829224,501,107.5864182,501,34.75360107,501,65.09116364,501,65.5076828,501,34.26792526,
500,40.30565643,500,107.4815369,500,34.77899551,500,65.09607697,500,65.49828339,500,34.27970123,
499,40.15526581,499,107.377861,499,34.77624512,499,65.06929016,499,65.47714233,499,34.28934097,
498,40.00608444,498,107.2671509,498,34.76687241,498,65.05710602,498,65.47293091,498,34.29545593,
497,39.84509659,497,107.14431,497,34.80006409,497,65.07581329,497,65.46411133,497,34.30872726,
496,39.70317459,496,107.0257645,496,34.80686951,496,65.05212402,496,65.44351196,496,34.31565857,
495,39.55497742,495,106.9030075,495,34.8126297,495,65.03948975,495,65.4312973,495,34.32435226,
