Baseline 100%T_S,,Baseline 100%T_P,,Sample S 6.00 12.00,,Sample S 6.00  180.00,,Sample P 6.00  180.00,,Sample P 6.00 12.00,,
Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%R,
638,21.55075836,638,132.3163147,638,33.75073624,638,65.90801239,638,66.33061981,638,33.27392197,
637,22.0265255,637,131.9488525,637,33.74484253,637,65.91155243,637,66.31929016,637,33.27525711,
636,22.51268387,636,131.5733337,636,33.74393082,636,65.89035034,636,66.31955719,636,33.28199387,
635,22.99536705,635,131.1864166,635,33.76567459,635,65.89188385,635,66.31502533,635,33.28514099,
634,23.48482895,634,130.8152313,634,33.76422119,634,65.86832428,634,66.3106842,634,33.28859329,
633,23.9709549,633,130.4358521,633,33.771492,633,65.88034058,633,66.30800629,633,33.29700089,
632,24.4443531,632,130.0634918,632,33.77342987,632,65.86649323,632,66.29879761,632,33.30114746,
631,24.91209412,631,129.7062988,631,33.76888275,631,65.86495972,631,66.30023193,631,33.30551529,
630,25.36460495,630,129.366394,630,33.78585815,630,65.85785675,630,66.29818726,630,33.31302261,
629,25.80454254,629,129.040863,629,33.7915802,629,65.84896851,629,66.29484558,629,33.31467056,
628,26.21257973,628,128.756134,628,33.7997818,628,65.85334015,628,66.28501129,628,33.32153702,
627,26.60272789,627,128.4784546,627,33.79584122,627,65.84229279,627,66.28079987,627,33.32463455,
626,26.95707321,626,128.2335663,626,33.80231094,626,65.83699799,626,66.2769165,626,33.33099365,
625,27.28099251,625,128.0192108,625,33.79547119,625,65.82424927,625,66.27823639,625,33.33808899,
624,27.54936218,624,127.8718338,624,33.82876587,624,65.83393097,624,66.26213074,624,33.33723068,
623,27.78996277,623,127.748085,623,33.81233597,623,65.82619476,623,66.26019287,623,33.34105301,
622,27.97356606,622,127.6756897,622,33.81950378,622,65.83565521,622,66.2432785,622,33.34295273,
621,28.10833168,621,127.6322479,621,33.81811905,621,65.82505035,621,66.25228882,621,33.35329819,
620,28.1832962,620,127.6497803,620,33.82166672,620,65.82261658,620,66.24069214,620,33.35890579,
619,28.21072578,619,127.7378693,619,33.83267975,619,65.8115921,619,66.23774719,619,33.36336136,
618,28.17019844,618,127.8517456,618,33.84776306,618,65.8067627,618,66.24398804,618,33.37044525,
617,28.07317352,617,128.0475616,617,33.84370041,617,65.79904175,617,66.22932434,617,33.37442017,
616,27.91584969,616,128.2965851,616,33.84711075,616,65.80584717,616,66.23039246,616,33.37630844,
615,27.6948719,615,128.588913,615,33.8682251,615,65.80397034,615,66.23203278,615,33.38508606,
614,27.40965271,614,128.929245,614,33.8644104,614,65.80329895,614,66.22002411,614,33.39195251,
613,27.08288193,613,129.3071136,613,33.86891937,613,65.79562378,613,66.22035217,613,33.39943695,
612,26.69934654,612,129.7571106,612,33.87710571,612,65.77944946,612,66.21156311,612,33.39583206,
611,26.27441216,611,130.2021484,611,33.87110519,611,65.7838974,611,66.21631622,611,33.40633774,
610,25.81959724,610,130.6842651,610,33.88435745,610,65.77697754,610,66.20927429,610,33.4127655,
609,25.34023285,609,131.1685333,609,33.88658524,609,65.76864624,609,66.20902252,609,33.42189789,
608,24.84242058,608,131.6531677,608,33.89431763,608,65.76968384,608,66.20822906,608,33.42824936,
607,24.35033989,607,132.1525421,607,33.90306091,607,65.7713089,607,66.19471741,607,33.43112946,
606,23.86850739,606,132.5866394,606,33.90155411,606,65.74913025,606,66.20171356,606,33.43588638,
605,23.41834641,605,132.9897614,605,33.91804504,605,65.75849915,605,66.19871521,605,33.44089127,
604,23.00512123,604,133.3389282,604,33.92049026,604,65.7385788,604,66.19822693,604,33.44985962,
603,22.64919472,603,133.627182,603,33.92683411,603,65.72694397,603,66.19346619,603,33.45504761,
602,22.3558712,602,133.8358459,602,33.94367218,602,65.74650574,602,66.17828369,602,33.46118546,
601,22.14159584,601,133.9590454,601,33.94325638,601,65.75209808,601,66.17411804,601,33.46826935,
600,22.01907158,600,133.9996796,600,33.95594025,600,65.7227478,600,66.15825653,600,33.4677887,
599,21.99583435,599,133.9072418,599,33.95278931,599,65.70606232,599,66.16100311,599,33.4759407,
598,22.07244682,598,133.7275391,598,33.95575714,598,65.68865204,598,66.15937042,598,33.4872551,
597,22.25385857,597,133.4599152,597,33.95446396,597,65.69149017,597,66.14309692,597,33.49011993,
596,22.54652596,596,133.0924072,596,33.97378922,596,65.69367218,596,66.14350128,596,33.49829102,
595,22.94979668,595,132.6317139,595,33.99115753,595,65.71110535,595,66.13019562,595,33.50030136,
594,23.46234703,594,132.0708008,594,33.98210907,594,65.69000244,594,66.12756348,594,33.50654221,
593,24.08615875,593,131.414505,593,33.98935318,593,65.6953125,593,66.12754822,593,33.51517868,
592,24.81158829,592,130.6689453,592,34.00627518,592,65.67499542,592,66.13022614,592,33.520298,
591,25.62711334,591,129.896637,591,34.00632858,591,65.67827606,591,66.11400604,591,33.52376938,
590,26.52642441,590,129.0327606,590,34.00181961,590,65.66247559,590,66.10463715,590,33.53001022,
589,27.50000954,589,128.1100769,589,34.01455307,589,65.67945099,589,66.10066223,589,33.53523636,
588,28.53525352,588,127.1294479,588,34.02750015,588,65.65476227,588,66.10060883,588,33.54497528,
587,29.61336136,587,126.1334076,587,34.02885818,587,65.64982605,587,66.09696198,587,33.54859543,
586,30.72782516,586,125.1106491,586,34.0385437,586,65.64716339,586,66.08834839,586,33.55294418,
585,31.88116264,585,124.0602722,585,34.05008316,585,65.62492371,585,66.07955933,585,33.56160355,
584,33.04072952,584,123.0131607,584,34.06192398,584,65.63656616,584,66.06853485,584,33.56679535,
583,34.18932343,583,121.9681702,583,34.04869843,583,65.63158417,583,66.06958008,583,33.57354355,
582,35.34791183,582,120.9143143,582,34.06144714,582,65.61975861,582,66.0500412,582,33.58210754,
581,36.48898697,581,119.88311,581,34.0735054,581,65.60457611,581,66.05732727,581,33.58464813,
580,37.60549545,580,118.8635101,580,34.07065201,580,65.60423279,580,66.05433655,580,33.59097672,
579,38.68383789,579,117.8792801,579,34.09679413,579,65.60863495,579,66.04647827,579,33.60227203,
578,39.73748779,578,116.9287186,578,34.10036087,578,65.6061554,578,66.03826904,578,33.60492325,
577,40.74853516,577,116.0056381,577,34.09407425,577,65.59654999,577,66.03398132,577,33.61307907,
576,41.72192764,576,115.1019592,576,34.09835815,576,65.60016632,576,66.03588867,576,33.62062836,
575,42.64668655,575,114.248909,575,34.1099205,575,65.58659363,575,66.03129578,575,33.63228226,
574,43.53984833,574,113.4366837,574,34.11146927,574,65.57821655,574,66.02152252,574,33.63589478,
573,44.38819122,573,112.6528015,573,34.11627197,573,65.58779144,573,66.00086212,573,33.64554214,
572,45.18312073,572,111.8960724,572,34.13167572,572,65.56768799,572,66.00893402,572,33.64664459,
571,45.95403671,571,111.1739731,571,34.13552856,571,65.58298492,571,66.00937653,571,33.65496445,
570,46.68873596,570,110.4862595,570,34.14177704,570,65.55736542,570,65.99391937,570,33.66062164,
569,47.36893845,569,109.8622437,569,34.14906311,569,65.55914307,569,65.98404694,569,33.6685257,
568,47.92973709,568,109.3434448,568,34.1579895,568,65.5472641,568,65.97875977,568,33.67750549,
567,48.3392868,567,108.9507828,567,34.16873932,567,65.55104828,567,65.97737885,567,33.68440247,
566,48.64289474,566,108.6422577,566,34.17307281,566,65.53490448,566,65.98086548,566,33.69001389,
565,48.84780121,565,108.4366684,565,34.18021774,565,65.53124237,565,65.96833801,565,33.69845581,
564,48.95862198,564,108.3003616,564,34.18598557,564,65.51512909,564,65.97768402,564,33.70514679,
563,49.0120163,563,108.2055664,563,34.19275665,563,65.51791382,563,65.96192932,563,33.71465683,
562,49.05515289,562,108.1229553,562,34.20476151,562,65.52677917,562,65.9523468,562,33.72376251,
561,49.09314346,561,108.0337906,561,34.21892929,561,65.5018158,561,65.94718933,561,33.73347473,
560,49.13906097,560,107.9470901,560,34.22300339,560,65.49120331,560,65.94062042,560,33.73720932,
559,49.17609787,559,107.8424454,559,34.2313652,559,65.5001297,559,65.9364624,559,33.74686813,
558,49.22071075,558,107.7547913,558,34.24145508,558,65.48949432,558,65.91894531,558,33.74846268,
557,49.26945114,557,107.6600037,557,34.23141861,557,65.46826935,557,65.91100311,557,33.75167084,
556,49.29820633,556,107.560791,556,34.2436409,556,65.48721313,556,65.90692139,556,33.76901627,
555,49.32505798,555,107.4950104,555,34.24831009,555,65.48146057,555,65.88329315,555,33.76786804,
554,49.34383774,554,107.4021225,554,34.27295685,554,65.47477722,554,65.88742065,554,33.77715683,
553,49.35926056,553,107.3342667,553,34.26157379,553,65.44460297,553,65.87234497,553,33.78344345,
552,49.3514061,552,107.2600098,552,34.28123093,552,65.45957947,552,65.87184906,552,33.7930336,
551,49.33449554,551,107.193779,551,34.29687881,551,65.45061493,551,65.86764526,551,33.80753326,
550,49.3157196,550,107.1436615,550,34.29341125,550,65.43604279,550,65.85660553,550,33.80961609,
549,49.27632523,549,107.104599,549,34.30039597,549,65.43809509,549,65.84646606,549,33.81634521,
548,49.2022438,548,107.094368,548,34.30169296,548,65.42474365,548,65.84080505,548,33.82315826,
547,49.02830887,547,107.1808548,547,34.3190918,547,65.42321777,547,65.83338165,547,33.8263588,
546,48.78506851,546,107.3365173,546,34.32374191,546,65.40820313,546,65.82917786,546,33.83935547,
545,48.49889755,545,107.5258942,545,34.32449722,545,65.39575195,545,65.82091522,545,33.84473419,
544,48.17888641,544,107.7354279,544,34.34218216,544,65.39113617,544,65.82302856,544,33.86040878,
543,47.8164978,543,107.9725113,543,34.34959412,543,65.37782288,543,65.801651,543,33.85531998,
542,47.49727631,542,108.162117,542,34.35873795,542,65.38833618,542,65.7953949,542,33.8655777,
541,47.20244598,541,108.3243713,541,34.36555862,541,65.37918091,541,65.78755951,541,33.87085342,
540,46.92752838,540,108.4601288,540,34.37835312,540,65.3613739,540,65.78089142,540,33.87721634,
539,46.6900444,539,108.5599518,539,34.36874008,539,65.36791229,539,65.77623749,539,33.89484406,
538,46.47571564,538,108.6474762,538,34.39084244,538,65.36377716,538,65.76473236,538,33.89574051,
537,46.28026199,537,108.6984634,537,34.39673996,537,65.33563232,537,65.76274109,537,33.90988541,
536,46.08722687,536,108.7447739,536,34.39884186,536,65.31965637,536,65.75791931,536,33.92016602,
535,45.91047668,535,108.79879,535,34.40549088,535,65.31878662,535,65.74954987,535,33.9254837,
534,45.73271942,534,108.838501,534,34.42285538,534,65.31800842,534,65.73981476,534,33.93208694,
533,45.55774307,533,108.8609848,533,34.42690659,533,65.29899597,533,65.73678589,533,33.94510269,
532,45.38378143,532,108.8936462,532,34.45380402,532,65.30218506,532,65.72016144,532,33.95014572,
531,45.22166061,531,108.9019775,531,34.45689392,531,65.30030823,531,65.71266174,531,33.95792389,
530,45.06063461,530,108.9198227,530,34.46008301,530,65.28927612,530,65.71469116,530,33.96551895,
529,44.90354538,529,108.9251556,529,34.45652008,529,65.27880859,529,65.69725037,529,33.97778702,
528,44.73926544,528,108.9283218,528,34.4655571,528,65.26925659,528,65.69086456,528,33.98661804,
527,44.57920837,527,108.9283218,527,34.48596191,527,65.28219604,527,65.67663574,527,33.99495316,
526,44.42570114,526,108.9153442,526,34.48770523,526,65.26155853,526,65.67980957,526,34.00947571,
525,44.27150726,525,108.9070282,525,34.49600601,525,65.24729156,525,65.66568756,525,34.00784302,
524,44.10771561,524,108.883522,524,34.49887848,524,65.23462677,524,65.6701889,524,34.01686859,
523,43.95030594,523,108.8696213,523,34.50236893,523,65.22006989,523,65.64115143,523,34.03300095,
522,43.79477692,522,108.8438644,522,34.53078461,522,65.21144867,522,65.63926697,522,34.04706192,
521,43.63796616,521,108.8312607,521,34.53011703,521,65.20948792,521,65.62876892,521,34.04574203,
520,43.48144531,520,108.8227615,520,34.52989578,520,65.19384766,520,65.60636902,520,34.04752731,
519,43.32539749,519,108.7850113,519,34.53520966,519,65.18074036,519,65.60364532,519,34.06100082,
518,43.16595078,518,108.7525711,518,34.55172348,518,65.17448425,518,65.58961487,518,34.0681839,
517,43.01049423,517,108.7129974,517,34.56959152,517,65.166008,517,65.57865906,517,34.08176804,
516,42.85522842,516,108.6724167,516,34.56650543,516,65.15431976,516,65.57250977,516,34.09117889,
515,42.69644165,515,108.6174164,515,34.58699417,515,65.15287781,515,65.57128143,515,34.09825134,
514,42.53556824,514,108.566246,514,34.59528351,514,65.13692474,514,65.56119537,514,34.10875702,
513,42.37568283,513,108.513092,513,34.59908676,513,65.14447021,513,65.55480957,513,34.12412262,
512,42.21948242,512,108.4690323,512,34.6070137,512,65.13873291,512,65.54772949,512,34.13294983,
511,42.06098938,511,108.4029999,511,34.61602783,511,65.11976624,511,65.53411102,511,34.14352417,
510,41.89564133,510,108.3374939,510,34.63721848,510,65.11942291,510,65.52562714,510,34.15849686,
509,41.74066925,509,108.28022,509,34.62517166,509,65.09742737,509,65.51893616,509,34.15823364,
508,41.58600998,508,108.2128983,508,34.64340973,508,65.08037567,508,65.50156403,508,34.17047882,
507,41.42339325,507,108.1334076,507,34.6524353,507,65.07740021,507,65.49507904,507,34.17876816,
506,41.26121902,506,108.0630875,506,34.67646408,506,65.08449554,506,65.4743576,506,34.18627167,
505,41.10740662,505,107.9914703,505,34.68334579,505,65.05847931,505,65.46217346,505,34.19763565,
504,40.94557953,504,107.9023743,504,34.70020294,504,65.05923462,504,65.45765686,504,34.21058273,
503,40.78826904,503,107.8147736,503,34.68035889,503,65.04319,503,65.44264221,503,34.21849442,
502,40.63102722,502,107.7290802,502,34.70771027,502,65.04966736,502,65.42706299,502,34.22288513,
